FunctionName  	              Samples
AI::FrameInit 	              4
AI::FrameShutdown           	              1
AI::Cycle     	              1
AI::CycleAll  	              5
AIPoint::AIPoint            	              4
AIEvent::AIEvent            	              1
AI::IsPlayer  	              7
AI::GetObjID  	              3
AIGetTime     	              11
floatarc::floatarc          	              1
AIEventPool::RemoveAllEvents              	              6
AICycle       	              10
AIAdvanceTime 	              1
_LoopFunc     	              8
AIMultiLinkedListHeap::GetFirstNode       	              4
AIPool::GetFirstAI          	              2
AIPool::GetNextAI           	              6
PropAIPool::MaxAIID         	              2
cPropertyBase::BaseIterStop 	              2
cPImpCompactArray::MaxIdx   	              3
operator==    	              12
AISoundIdle   	              8
appobjIsRemote              	              2
SFX_Frame     	              3
_LoopFunc     	              7
BipedsUpdate  	              2
BipedGet      	              7
_LoopFunc     	              5
cBipedProperty::DescribeType              	              2
cBipedProperty::~cBipedProperty           	              10
CameraGetLocation           	              3
CameraUpdate  	              3
CameraGetObjID              	              14
cIPtrBase::operator`void  *'              	              5
cIPtrBase::operator`struct IUnknown  *'   	              9
cIPtrBase::operator`struct IUnknown  *'   	              11
cIPtrBase::cIPtrBase        	              1
texture_lookup              	              290
CellBinUpdateFunc           	              23
CellBinComputeFunc          	              13
EOSBoundingPrism            	              3
_LoopFunc     	              6
headmoveLookAround          	              7
headmoveCheck 	              5
hudDraw       	              1
md_multi_set_lights_for_object            	              15
add_far_light 	              3
add_near_light              	              3
light_compare 	              7
setup_location_lighting     	              26
setup_object_lighting       	              1
_LoopFunc     	              14
ObjGetOwner   	              5
AIPath::AIPath              	              7
ParticlesUpdate             	              62
_LoopFunc     	              7
smoothVec     	              6
PhysSetFlag   	              2
PhysGetBBox   	              11
physGetState  	              8
PhysEvaluateControls        	              14
PhysCalculate 	              14
PhysRunObj    	              8
PhysRun       	              81
_LoopFunc     	              11
our_time      	              11
PlayerUpdateFiring          	              9
_LoopFunc     	              13
start_frame   	              1
do_frame      	              1
end_frame     	              3
put_test_data 	              18
get_test_data 	              10
cam_setup_obj 	              5
